treatment,timepoint,Material,description,Species,Species_rep_rel_abund,st_dev_Species_abund
no UV,T1,PET,PET_no UV_T1, Myrtea flabelliformis gill endosymbiont,0,0
no UV,T1,PET,PET_no UV_T1, Stenotrophomonas sp. QW46,0,0
no UV,T1,PET,PET_no UV_T1, Maritalea porphyrae,0,0
no UV,T1,PET,PET_no UV_T1, Laceyella sp. YIM 79486,0,0
no UV,T1,PET,PET_no UV_T1, Jannaschia aquimarina,0,0
no UV,T1,PET,PET_no UV_T1, Winogradskyella eximia,0,0
no UV,T1,PET,PET_no UV_T1, Vibrio pectenicida,0,0
no UV,T1,PET,PET_no UV_T1, Leptolyngbya subtilissima EcFYyyy700,0,0
no UV,T1,PET,PET_no UV_T1, Sphingomicrobium flavum,0,0
no UV,T1,PET,PET_no UV_T1, Roseibacterium elongatum,0,0
no UV,T1,PET,PET_no UV_T1, Tenacibaculum holothuriorum,0,0
no UV,T1,PET,PET_no UV_T1, Vibrionaceae bacterium C16,0,0
no UV,T1,PET,PET_no UV_T1, Marinoscillum luteum,0,0
no UV,T1,PET,PET_no UV_T1, Ascidiaceihabitans donghaensis,0,0
no UV,T1,PET,PET_no UV_T1, Bradyrhizobium sp. P9-21,0,0
no UV,T1,PET,PET_no UV_T1, Cerasicoccus sp. CC-MHH0563,0,0
no UV,T1,PET,PET_no UV_T1, Flammeovirga sp. OC4,0,0
no UV,T1,PET,PET_no UV_T1, bacterium enrichment culture clone auto222_4W,0,0
no UV,T1,PET,PET_no UV_T1, gamma proteobacterium NEP4,0,0
no UV,T1,PET,PET_no UV_T1, Nitrosopumilus sp. Nsub,0,0
no UV,T1,PET,PET_no UV_T1, Paraferrimonas sedimenticola,0,0
no UV,T1,PET,PET_no UV_T1, Flavobacteriaceae bacterium A100,0,0
no UV,T1,PET,PET_no UV_T1, Jannaschia sp. 4RATIMAR09,0,0
no UV,T1,PET,PET_no UV_T1, Tateyamaria sp. KS9-11,0,0
no UV,T1,PET,PET_no UV_T1, Stenotrophomonas sp. PG16,0,0
no UV,T1,PET,PET_no UV_T1, Salmonella enterica subsp. arizonae,0,0
no UV,T1,PET,PET_no UV_T1, Rhodobacteraceae bacterium ROS8,0,0
no UV,T1,PET,PET_no UV_T1, Massilia timonae,0,0
no UV,T1,PET,PET_no UV_T1, Marivita geojedonensis,0,0
no UV,T1,PET,PET_no UV_T1, Alphaproteobacteria bacterium i77,0,0
no UV,T1,PET,PET_no UV_T1, Vibrio rotiferianus,0,0
no UV,T1,PET,PET_no UV_T1, Wolbachia endosymbiont strain TRS of Brugia malayi,0,0
no UV,T1,PET,PET_no UV_T1, bacterium enrichment culture clone 71,0,0
no UV,T1,PET,PET_no UV_T1, Winogradskyella exilis,0,0
no UV,T1,PET,PET_no UV_T1, Rhodobium orientis,0,0
no UV,T1,PET,PET_no UV_T1, Methylarcula sp. BIO-13,0,0
no UV,T1,PET,PET_no UV_T1, Erythrobacter sp. Tn18,0,0
no UV,T1,PET,PET_no UV_T1, Photobacterium sp. C419,0,0
no UV,T1,PET,PET_no UV_T1, Tissierellia bacterium S5-A11,0,0
no UV,T1,PET,PET_no UV_T1, Arthrobacter agilis,0,0
no UV,T1,PET,PET_no UV_T1, Bacteroidetes bacterium OM05,0,0
no UV,T1,PET,PET_no UV_T1, bacterium enrichment culture clone SRAO_34,0,0
no UV,T1,PET,PET_no UV_T1, bacterium NLAE-zl-P70,0,0
no UV,T1,PET,PET_no UV_T1, Spongiibacter marinus DSM 19753,0,0
no UV,T1,PET,PET_no UV_T1, Corynebacterium bovis,0,0
no UV,T1,PET,PET_no UV_T1, Erythrobacter lutimaris,0,0
no UV,T1,PET,PET_no UV_T1, Oceanicola sp. JF-1,0,0
no UV,T1,PET,PET_no UV_T1, Pseudoalteromonas sp. c7,0,0
no UV,T1,PET,PET_no UV_T1, bacterium enrichment culture clone EB35.8,0,0
no UV,T1,PET,PET_no UV_T1, Oscillatoria sp. Cy_nb1,0,0
no UV,T1,PET,PET_no UV_T1, Psychrobacter fulvigenes,0,0
no UV,T1,PET,PET_no UV_T1, Enterobacter sp. NRRU-N20,0,0
no UV,T1,PET,PET_no UV_T1, Halomonas sp. HL97,0,0
no UV,T1,PET,PET_no UV_T1, Boseongicola sp.,0,0
no UV,T1,PET,PET_no UV_T1, gamma proteobacterium GMD38C3,0,0
no UV,T1,PET,PET_no UV_T1, bacterium N47,0,0
no UV,T1,PET,PET_no UV_T1, Sulfitobacter sp. HA-1-1,0,0
no UV,T1,PET,PET_no UV_T1, Enterococcus aquimarinus,0,0
no UV,T1,PET,PET_no UV_T1, Wandonia haliotis,0,0
no UV,T1,PET,PET_no UV_T1, Jejudonia soesokkakensis,0,0
no UV,T1,PET,PET_no UV_T1, Psychroserpens sp. FI 9C,0,0
no UV,T1,PET,PET_no UV_T1, Rhodopseudomonas harwoodiae,0,0
no UV,T1,PET,PET_no UV_T1, Janibacter melonis,0,0
no UV,T1,PET,PET_no UV_T1, bacterium YC-ZSS-LKJ17,0,0
no UV,T1,PET,PET_no UV_T1, gamma proteobacterium UMB18C,0,0
no UV,T1,PET,PET_no UV_T1, Altererythrobacter marinus,0,0
no UV,T1,PET,PET_no UV_T1, Vibrio sp. HQN-12,0,0
no UV,T1,PET,PET_no UV_T1, Polaribacter porphyrae,0,0
no UV,T1,PET,PET_no UV_T1, Prosthecomicrobium sp. ATCC 27825,0,0
no UV,T1,PET,PET_no UV_T1, DSMP-degrading bacterium LFR,0,0
no UV,T1,PET,PET_no UV_T1, Rhizobium tarimense,0,0
no UV,T1,PET,PET_no UV_T1, Flavobacterium daemonense,0,0
no UV,T1,PET,PET_no UV_T1, Simiduia agarivorans SA1 = DSM 21679,0,0
no UV,T1,PET,PET_no UV_T1, Halomonas sp. GQ10,0,0
no UV,T1,PET,PET_no UV_T1, Colwelliaceae bacterium D8,0,0
no UV,T1,PET,PET_no UV_T1, Glaciecola sp. G20,0,0
no UV,T1,PET,PET_no UV_T1, Aeromonas caviae,0,0
no UV,T1,PET,PET_no UV_T1, Marinobacter segnicrescens,0,0
no UV,T1,PET,PET_no UV_T1, gamma proteobacterium NB0077,0,0
no UV,T1,PET,PET_no UV_T1, Alteromonadaceae EF3B-B802,0,0
no UV,T1,PET,PET_no UV_T1, Tenacibaculum discolor,0,0
no UV,T1,PET,PET_no UV_T1, Staphylococcus sp. 80 JDE-2009,0,0
no UV,T1,PET,PET_no UV_T1, Robiginitalea biformata HTCC2501,0,0
no UV,T1,PET,PET_no UV_T1, Rhodococcus ruber,0,0
no UV,T1,PET,PET_no UV_T1, Corynebacterium sphenisci DSM 44792,0,0
no UV,T1,PET,PET_no UV_T1, Bacteroidetes bacterium GMD16C04,0,0
no UV,T1,PET,PET_no UV_T1, Aeromonas hydrophila subsp. hydrophila,0,0
no UV,T1,PET,PET_no UV_T1, Robiginitalea myxolifaciens,0,0
no UV,T1,PET,PET_no UV_T1, Muricauda sp. CP2A,0,0
no UV,T1,PET,PET_no UV_T1, Rhodococcus sp. GBA_114-17,0,0
no UV,T1,PET,PET_no UV_T1, Flavobacteriaceae bacterium AM2,0,0
no UV,T1,PET,PET_no UV_T1, Leuconostoc lactis,0,0
no UV,T1,PET,PET_no UV_T1, bacterium SV68AA1-4,0,0
no UV,T1,PET,PET_no UV_T1, Aliiroseovarius pelagivivens,0,0
no UV,T1,PET,PET_no UV_T1, Maribacter chungangensis,0,0
no UV,T1,PET,PET_no UV_T1, cf. Cytophaga sp. MGP-3,0,0
no UV,T1,PET,PET_no UV_T1, Halochromatium glycolicum,0,0
no UV,T1,PET,PET_no UV_T1, Kordia ulvae,0,0
no UV,T1,PET,PET_no UV_T1, Microbacterium laevaniformans,0,0
no UV,T1,PET,PET_no UV_T1, Oxalobacteraceae bacterium CC11I1,0,0
no UV,T1,PET,PET_no UV_T1, Ferrimonas sp. EF3B-B688,0,0
no UV,T1,PET,PET_no UV_T1, Xanthomonadaceae bacterium Ellin7015,0,0
no UV,T1,PET,PET_no UV_T1, Stenotrophomonas maltophilia MGB,0,0
no UV,T1,PET,PET_no UV_T1, bacterium p14,0,0
no UV,T1,PET,PET_no UV_T1, Leptolyngbya sp. LEGE 07312,0,0
no UV,T1,PET,PET_no UV_T1, Rhodobacteraceae bacterium MOLA 99,0,0
no UV,T1,PET,PET_no UV_T1, Xanthomonas sp.,0,0
no UV,T1,PET,PET_no UV_T1, Seonamhaeicola aphaedonensis,0,0
no UV,T1,PET,PET_no UV_T1, Candidatus Cryptoplasma californiense,0,0
no UV,T1,PET,PET_no UV_T1, Ralstonia sp. 14I,0,0
no UV,T1,PET,PET_no UV_T1, Flavobacterium nitrogenifigens,0,0
no UV,T1,PET,PET_no UV_T1, Erythrobacter sp. DSW98,0,0
no UV,T1,PET,PET_no UV_T1, Undibacterium sp. JJ2212,0,0
no UV,T1,PET,PET_no UV_T1, Robiginitalea sp. CAU 1307,0,0
no UV,T1,PET,PET_no UV_T1, Porphyrobacter sp. HL-46,0,0
no UV,T1,PET,PET_no UV_T1, Hoeflea sp. SS10.8,0,0
no UV,T1,PET,PET_no UV_T1, Aestuariihabitans beolgyonensis,0,0
no UV,T1,PET,PET_no UV_T1, Stigonema sp. LS09-3,0,0
no UV,T1,PET,PET_no UV_T1, Sphingobium sp. W2.10-97,0,0
no UV,T1,PET,PET_no UV_T1, Flavobacteriaceae bacterium MOLA 117,0,0
no UV,T1,PET,PET_no UV_T1, Vibrio azureus,0,0
no UV,T1,PET,PET_no UV_T1, Marinobacter sp. HMF2338,0,0
no UV,T1,PET,PET_no UV_T1, Alistipes timonensis JC136,0,0
no UV,T1,PET,PET_no UV_T1, Cellulomonas oligotrophica,0,0
no UV,T1,PET,PET_no UV_T1, Arthrobacter sp. MDT3-45,0,0
no UV,T1,PET,PET_no UV_T1, Stanieria sp. MBIC10001,0,0
no UV,T1,PET,PET_no UV_T1, Staphylococcus sp. K01-16,0,0
no UV,T1,PET,PET_no UV_T1, Nonlabens sp. Hel1_33_55,0,0
no UV,T1,PET,PET_no UV_T1, Synechococcus sp. PCC 7335,0,0
no UV,T1,PET,PET_no UV_T1, Streptococcus cristatus AS 1.3089,0,0
no UV,T1,PET,PET_no UV_T1, Flammeovirga pacifica,0,0
no UV,T1,PET,PET_no UV_T1, Glaciecola siphonariae,0,0
no UV,T1,PET,PET_no UV_T1, Alteromonas sp. enrichment culture clone SWPHE06,0,0
no UV,T1,PET,PET_no UV_T1, Desulfovibrio sp. Ac5.2,0,0
no UV,T1,PET,PET_no UV_T1, Spirulina sp. LEGE 11439,0,0
no UV,T1,PET,PET_no UV_T1, Thioclava sp. 25B10_4,0,0
no UV,T1,PET,PET_no UV_T1, Austrofundulus limnaeus,0,0
no UV,T1,PET,PET_no UV_T1, Sphingomonas dokdonensis,0,0
no UV,T1,PET,PET_no UV_T1, Methylobacterium sp. L6-309,0,0
no UV,T1,PET,PET_no UV_T1, Roseovarius confluentis,0,0
no UV,T1,PET,PET_no UV_T1, Lutibacter sp. Hel1_33_84,0,0
no UV,T1,PET,PET_no UV_T1, marine bacterium ATAM173a_2,0,0
no UV,T1,PET,PET_no UV_T1, Sulfitobacter sp. A12,0,0
no UV,T1,PET,PET_no UV_T1, Cellulophaga sp. RE2-13,0,0
no UV,T1,PET,PET_no UV_T1, Lacinutrix sp. KLE1229,0,0
no UV,T1,PET,PET_no UV_T1, Erythrobacter sp. KLE1224,0,0
no UV,T1,PET,PET_no UV_T1, Thalassobaculum litoreum,0,0
no UV,T1,PET,PET_no UV_T1, Acinetobacter sp. CL1905,0,0
no UV,T1,PET,PET_no UV_T1, bacterium CYCU-0258,0,0
no UV,T1,PET,PET_no UV_T1, Bradyrhizobium sp. ORS 3636,0,0
no UV,T1,PET,PET_no UV_T1, Luteimonas sp. Q-1,0,0
no UV,T1,PET,PET_no UV_T1, Meridianimaribacter sp. ZJ6316,0,0
no UV,T1,PET,PET_no UV_T1, Vibrio sp. PH19,0,0
no UV,T1,PET,PET_no UV_T1, Marinicella litoralis,0,0
no UV,T1,PET,PET_no UV_T1, Stappia kahanamokuae,0,0
no UV,T1,PET,PET_no UV_T1, Pseudomonas sp. 21C1,0,0
no UV,T1,PET,PET_no UV_T1, Reichenbachiella agariperforans,0,0
no UV,T1,PET,PET_no UV_T1, gamma proteobacterium enrichment culture clone TT-1470,0,0
no UV,T1,PET,PET_no UV_T1, Vibrionaceae bacterium AVA1,0,0
no UV,T1,PET,PET_no UV_T1, Micrococcaceae bacterium 1073/1,0,0
no UV,T1,PET,PET_no UV_T1, Microbacterium sp. Root61,0,0
no UV,T1,PET,PET_no UV_T1, bacterium K57,0,0
no UV,T1,PET,PET_no UV_T1, Rhodobacteraceae bacterium WFHF2C18,0,0
no UV,T1,PET,PET_no UV_T1, Defluviimonas sp. CC-PW-65,0,0
no UV,T1,PET,PET_no UV_T1, Alteromonas sp. RW2A1,0,0
no UV,T1,PET,PET_no UV_T1, Thermicanus aegyptius DSM 12793,0,0
no UV,T1,PET,PET_no UV_T1, bacterium enrichment culture clone 32(2013),0,0
no UV,T1,PET,PET_no UV_T1, Roseobacter sp. g80,0,0
no UV,T1,PET,PET_no UV_T1, Brevundimonas diminuta,0,0
no UV,T1,PET,PET_no UV_T1, Halomonas sp. M4(2014),0,0
no UV,T1,PET,PET_no UV_T1, Chromera velia,0,0
no UV,T1,PET,PET_no UV_T1, Paracoccus sp. MBIC4019,0,0
no UV,T1,PET,PET_no UV_T1, Micrococcus sp. 9(2012),0,0
no UV,T1,PET,PET_no UV_T1, bacterium ii1209,0,0
no UV,T1,PET,PET_no UV_T1, Microscilla marina,0,0
no UV,T1,PET,PET_no UV_T1, Kordia sp. PC-4,0,0
no UV,T1,PET,PET_no UV_T1, Deinococcus geothermalis DSM 11300,0,0
no UV,T1,PET,PET_no UV_T1, bacterium FJAT-17797,0,0
no UV,T1,PET,PET_no UV_T1, Rhizobium sp. SCAU231,0,0
no UV,T1,PET,PET_no UV_T1, Maribacter sp. HTCC2170,0,0
no UV,T1,PET,PET_no UV_T1, Flexibacter sp. S4475,0,0
no UV,T1,PET,PET_no UV_T1, Roseobacter sp. ANT9283,0,0
no UV,T1,PET,PET_no UV_T1, Hartmannibacter sp. DMGB13,0,0
no UV,T1,PET,PET_no UV_T1, Ekhidna sp. KYW 635,0,0
no UV,T1,PET,PET_no UV_T1, Stenotrophomonas sp. MYb65,0,0
no UV,T1,PET,PET_no UV_T1, Tenacibaculum sp. C28,0,0
no UV,T1,PET,PET_no UV_T1, Pseudovibrio hongkongensis,0,0
no UV,T1,PET,PET_no UV_T1, Loktanella sp. NP29,0,0
no UV,T1,PET,PET_no UV_T1, Enterococcus italicus,0,0
no UV,T1,PET,PET_no UV_T1, Bacteriovorax sp. E1T4-F,0,0
no UV,T1,PET,PET_no UV_T1, Dietzia sp. zf-IIRht6,0,0
no UV,T1,PET,PET_no UV_T1, Streptococcus himalayensis,0,0
no UV,T1,PET,PET_no UV_T1, Chryseobacterium hispanicum,0,0
no UV,T1,PET,PET_no UV_T1, Phaeobacter marinintestinus,0,0
no UV,T1,PET,PET_no UV_T1, Chryseobacterium sp. 304(2016),0,0
no UV,T1,PET,PET_no UV_T1, Amnibacterium sp.,0,0
no UV,T1,PET,PET_no UV_T1, Acinetobacter sp. 5-4(2010),0,0
no UV,T1,PET,PET_no UV_T1, Algimonas porphyrae,0,0
no UV,T1,PET,PET_no UV_T1, [Actinobacillus] rossii,0,0
no UV,T1,PET,PET_no UV_T1, Alteromonas halophila,0,0
no UV,T1,PET,PET_no UV_T1, Altererythrobacter sp. Root672,0,0
no UV,T1,PET,PET_no UV_T1, Aquaspirillum putridiconchylium,0,0
no UV,T1,PET,PET_no UV_T1, Brucellaceae bacterium mixed culture X12-58,0,0
no UV,T1,PET,PET_no UV_T1, Roseobacter sp. NJSS27,0,0
no UV,T1,PET,PET_no UV_T1, Rhizobium sp. MK4Y-5-2,0,0
no UV,T1,PET,PET_no UV_T1, Aequorivita soesokkakensis,0,0
no UV,T1,PET,PET_no UV_T1, Neosynechococcus sphagnicola sy1,0,0
no UV,T1,PET,PET_no UV_T1, Psychrobacter alimentarius,0,0
no UV,T1,PET,PET_no UV_T1, Rhodobacter sp. enrichment culture,0,0
no UV,T1,PET,PET_no UV_T1, Pseudomonas sp. Mon 1B1,0,0
no UV,T1,PET,PET_no UV_T1, Ectothiorhodospira haloalkaliphila ATCC 51935,0,0
no UV,T1,PET,PET_no UV_T1, Yeosuana yeosuensis,0,0
no UV,T1,PET,PET_no UV_T1, Erythrobacter sp. RC 4-10-4,0,0
no UV,T1,PET,PET_no UV_T1, Sagittula sp. JLT9,0,0
no UV,T1,PET,PET_no UV_T1, bacterium endosymbiont of Osedax mucofloris,0,0
no UV,T1,PET,PET_no UV_T1, Flaviramulus basaltis,0,0
no UV,T1,PET,PET_no UV_T1, Sinomonas sp. LC067,0,0
no UV,T1,PET,PET_no UV_T1, Enterovibrio sp. JCM 19048,0,0
no UV,T1,PET,PET_no UV_T1, Zimmermannella faecalis ATCC 13722,0,0
no UV,T1,PET,PET_no UV_T1, Paracoccus fistulariae,0,0
no UV,T1,PET,PET_no UV_T1, Fuerstia marisgermanicae,0,0
no UV,T1,PET,PET_no UV_T1, Oxalicibacterium sp. MIC3045,0,0
no UV,T1,PET,PET_no UV_T1, Streptococcus gordonii,0,0
no UV,T1,PET,PET_no UV_T1, Flaviramulus sp. KLE1226,0,0
no UV,T1,PET,PET_no UV_T1, Acinetobacter qingfengensis,0,0
no UV,T1,PET,PET_no UV_T1, Tateyamaria sp. 63075,0,0
no UV,T1,PET,PET_no UV_T1, Rickettsia monteiroi,0,0
no UV,T1,PET,PET_no UV_T1, Tropicibacter sp. SSW234,0,0
no UV,T1,PET,PET_no UV_T1, Mycobacterium sp.,0,0
no UV,T1,PET,PET_no UV_T1, Photobacterium sp. QY26,0,0
no UV,T1,PET,PET_no UV_T1, Tropicimonas aquimaris,0,0
no UV,T1,PET,PET_no UV_T1, Paracoccus sp. BM15,0,0
no UV,T1,PET,PET_no UV_T1, Candidatus Puniceispirillum marinum IMCC1322,0,0
no UV,T1,PET,PET_no UV_T1, Polaribacter sp. MED152,0,0
no UV,T1,PET,PET_no UV_T1, Methylobacterium brachiatum,0,0
no UV,T1,PET,PET_no UV_T1, Devosia nanyangense,0,0
no UV,T1,PET,PET_no UV_T1, Ruegeria sp. SOVto4,0,0
no UV,T1,PET,PET_no UV_T1, Erythrobacter jejuensis,0,0
no UV,T1,PET,PET_no UV_T1, Altibacter lentus,0,0
no UV,T1,PET,PET_no UV_T1, Pseudomonas sp. ljh-30,0,0
no UV,T1,PET,PET_no UV_T1, Pseudomonas sp.,0,0
no UV,T1,PET,PET_no UV_T1, Bradyrhizobium sp. ORS 3634,0,0
UV,T1,PS,PS_UV_T1, Flavobacteriaceae bacterium GUDS1159,0,0
UV,T1,PS,PS_UV_T1, Fretibacter rubidus,0,0
UV,T1,PS,PS_UV_T1, filamentous cyanobacterium FLK9,0,0
UV,T1,PS,PS_UV_T1, Spumella-like flagellate JBC/S23,0,0
UV,T1,PS,PS_UV_T1, filamentous cyanobacterium LLi71,0,0
UV,T1,PS,PS_UV_T1, Oleiphilus sp. HI0067,0,0
UV,T1,PS,PS_UV_T1, Winogradskyella sp. AB222f,0,0
UV,T1,PS,PS_UV_T1, Oceanicaulis alexandrii DSM 11625,0,0
UV,T1,PS,PS_UV_T1, mucus bacterium 78,0,0
UV,T1,PS,PS_UV_T1, Acinetobacter sp. MJMG7.2,0,0
UV,T1,PS,PS_UV_T1, Eudoraea chungangensis,0,0
UV,T1,PS,PS_UV_T1, Tenacibaculum amylolyticum,0,0
UV,T1,PS,PS_UV_T1, Oceanospirillum sp. ME101,0,0
UV,T1,PS,PS_UV_T1, Brachybacterium rhamnosum,0,0
UV,T1,PS,PS_UV_T1, Roseobacter sp. DSS-8,0,0
UV,T1,PS,PS_UV_T1, Croceitalea dokdonensis DOKDO 023,0,0
UV,T1,PS,PS_UV_T1, Tenacibaculum jejuense,0,0
UV,T1,PS,PS_UV_T1, Cladosiphon okamuranus,0,0
UV,T1,PS,PS_UV_T1, bacterium BW4PhS17,0,0
UV,T1,PS,PS_UV_T1, Marivita hallyeonensis,0,0
UV,T1,PS,PS_UV_T1, Parahaliea mediterranea,0,0
UV,T1,PS,PS_UV_T1, Maribius pelagius,0,0
UV,T1,PS,PS_UV_T1, Aquimarina sp. NS08,0,0
UV,T1,PS,PS_UV_T1, Thalassococcus lentus,0,0
UV,T1,PS,PS_UV_T1, Erythrobacter sp. YT30,0,0
UV,T1,PS,PS_UV_T1, Microbacterium sp. AMP-4,0,0
UV,T1,PS,PS_UV_T1, Loktanella sp. S4079,0,0
UV,T1,PS,PS_UV_T1, Spongiibacter sp. HME8849,0,0
UV,T1,PS,PS_UV_T1, alpha proteobacterium GMD37C8,0,0
UV,T1,PS,PS_UV_T1, Flavobacteriales bacterium ALC-1,0,0
UV,T1,PS,PS_UV_T1, Albimonas pacifica,0,0
UV,T1,PS,PS_UV_T1, [Eubacterium] sulci,0,0
UV,T1,PS,PS_UV_T1, Tenacibaculum sp. MEBiC06102T,0,0
UV,T1,PS,PS_UV_T1, Eikenella sp. canine oral taxon 049,0,0
UV,T1,PS,PS_UV_T1, filamentous cyanobacterium LEGE 11469,0,0
UV,T1,PS,PS_UV_T1, Coccinimonas marina,0,0
UV,T1,PS,PS_UV_T1, Erythrobacter seohaensis,0,0
UV,T1,PS,PS_UV_T1, Acinetobacter sp. On4,0,0
UV,T1,PS,PS_UV_T1, Celeribacter sp. MAT1,0,0
UV,T1,PS,PS_UV_T1, Delftia tsuruhatensis,0,0
UV,T1,PS,PS_UV_T1, Vibrio sp.,0,0
UV,T1,PS,PS_UV_T1, Leuconostoc mesenteroides,0,0
UV,T1,PS,PS_UV_T1, Winogradskyella sp. SFD31,0,0
UV,T1,PS,PS_UV_T1, Oceanicola sp. LA276,0,0
UV,T1,PS,PS_UV_T1, Erythrobacteraceae bacterium LSUCC0267,0,0
UV,T1,PS,PS_UV_T1, Phormidium sp. BDU 20391,0,0
UV,T1,PS,PS_UV_T1, Tenacibaculum aiptasiae,0,0
UV,T1,PS,PS_UV_T1, Marivirga tractuosa,0,0
UV,T1,PS,PS_UV_T1, Roseibacterium beibuensis,0,0
UV,T1,PS,PS_UV_T1, Eudoraea adriatica DSM 19308,0,0
UV,T1,PS,PS_UV_T1, Sphingomonas sp. ST 6-01,0,0
UV,T1,PS,PS_UV_T1, Acinetobacter xiamenensis,0,0
UV,T1,PS,PS_UV_T1, Actibacterium sp.,0,0
UV,T1,PS,PS_UV_T1, Kytococcus sp. FXJ8.142,0,0
UV,T1,PS,PS_UV_T1, Cribrihabitans marinus,0,0
UV,T1,PS,PS_UV_T1, Thioprofundum lithotrophicum,0,0
UV,T1,PS,PS_UV_T1, Micrococcus luteus,0,0
UV,T1,PS,PS_UV_T1, mucus bacterium 40,0,0
UV,T1,PS,PS_UV_T1, Winogradskyella sp. J14-2,0,0
UV,T1,PS,PS_UV_T1, Carcinus maenas (green crab),0,0
UV,T1,PS,PS_UV_T1, Sphingorhabdus marina,0,0
UV,T1,PS,PS_UV_T1, marine bacterium Tw-1,0,0
UV,T1,PS,PS_UV_T1, Leptolyngbya aff. ectocarpi LEGE 11473,0,0
UV,T1,PS,PS_UV_T1, Alteromonas sp. JDTF-113,0,0
UV,T1,PS,PS_UV_T1, Ruegeria sp. YIM-QH106,0,0
UV,T1,PS,PS_UV_T1, Calothrix sp. 96/26 LPP3,0,0
UV,T1,PS,PS_UV_T1, Loktanella agnita,0,0
UV,T1,PS,PS_UV_T1, Oleiphilus sp. HI0073,0,0
UV,T1,PS,PS_UV_T1, Cytophaga sp. JB-4,0,0
UV,T1,PS,PS_UV_T1, Roseicitreum antarcticum,0,0
UV,T1,PS,PS_UV_T1, Sphingopyxis sp. r11,0,0
UV,T1,PS,PS_UV_T1, marine gamma proteobacterium HTCC2246,0,0
UV,T1,PS,PS_UV_T1, Boseongicola sp. MME-043,0,0
UV,T1,PS,PS_UV_T1, Erythrobacter vulgaris,0,0
UV,T1,PS,PS_UV_T1, Halobacteriovorax marinus SJ,0,0
UV,T1,PS,PS_UV_T1, Aquimarina sp. EF1C-B1014,0,0
UV,T1,PS,PS_UV_T1, Actibacter sediminis,0,0
UV,T1,PS,PS_UV_T1, Vibrio sinaloensis,0,0
UV,T1,PS,PS_UV_T1, Clostridium butyricum,0,0
UV,T1,PS,PS_UV_T1, Ruegeria sp.,0,0
UV,T1,PS,PS_UV_T1, Maribacter polysiphoniae,0,0
UV,T1,PS,PS_UV_T1, Oleiphilus sp. HI0068,0,0
UV,T1,PS,PS_UV_T1, gamma proteobacterium 14III/A01/016,0,0
UV,T1,PS,PS_UV_T1, Parvularcula flava,0,0
UV,T1,PS,PS_UV_T1, Ponticoccus sp. SJ5A-1,0,0
UV,T1,PS,PS_UV_T1, Sediminitomix flava,0,0
UV,T1,PS,PS_UV_T1, Thalassococcus sp. MME-060,0,0
UV,T1,PS,PS_UV_T1, Aliikangiella marina,0,0
UV,T1,PS,PS_UV_T1, Loktanella maritima,0,0
UV,T1,PS,PS_UV_T1, Phyllobacterium sp. BKBGT13,0,0
UV,T1,PS,PS_UV_T1, Polaribacter sp. AG12,0,0
UV,T1,PS,PS_UV_T1, bacterium GUDS1130,0,0
UV,T1,PS,PS_UV_T1, Oleiphilus messinensis,0,0
UV,T1,PS,PS_UV_T1, Thalassotalea loyana,0,0
UV,T1,PS,PS_UV_T1, Defluviimonas sp. THS-St8.7,0,0
UV,T1,PS,PS_UV_T1, Vibrio harveyi,0,0
UV,T1,PS,PS_UV_T1, Alteromonas sp. 2tb4,0,0
UV,T1,PS,PS_UV_T1, Aequorivita lipolytica,0,0
UV,T1,PS,PS_UV_T1, Streptococcus salivarius subsp. thermophilus,0,0
UV,T1,PS,PS_UV_T1, Spongiibacter sp. CC-AMW-B,0,0
UV,T1,PS,PS_UV_T1, Nautella sp.,0,0
UV,T1,PS,PS_UV_T1, Microbulbifer sp. GB02-4,0,0
UV,T1,PS,PS_UV_T1, Dokdonia pacifica,0,0
UV,T1,PS,PS_UV_T1, Thalassobaculum salexigens DSM 19539,0,0
UV,T1,PS,PS_UV_T1, Alphaproteobacteria sp. MG35,0,0
UV,T1,PS,PS_UV_T1, Ruegeria sp. JZ11IS22,0,0
UV,T1,PS,PS_UV_T1, Halioglobus japonicus,0,0
UV,T1,PS,PS_UV_T1, Altererythrobacter sp. BR-75,0,0
UV,T1,PS,PS_UV_T1, Aureobasidium melanogenum,0,0
UV,T1,PS,PS_UV_T1, Rhodobacter sphaeroides,0,0
UV,T1,PS,PS_UV_T1, Dyadobacter sp. Leaf189,0,0
UV,T1,PS,PS_UV_T1, Oligobrachia mashikoi endosymbiont B,0,0
UV,T1,PS,PS_UV_T1, Porphyrobacter meromictius,0,0
UV,T1,PS,PS_UV_T1, bacterium YC-ZSS-LKJ77,0,0
UV,T1,PS,PS_UV_T1, Tropicibacter litoreus R37,0,0
UV,T1,PS,PS_UV_T1, Croceibacter atlanticus HTCC2559,0,0
UV,T1,PS,PS_UV_T1, Listeria ivanovii subsp. londoniensis,0,0
UV,T1,PS,PS_UV_T1, Altererythrobacter sp. CC-AMWO-103A,0,0
UV,T1,PS,PS_UV_T1, Spongiibacterium pacificum,0,0
UV,T1,PS,PS_UV_T1, Eionea flava,0,0
UV,T1,PS,PS_UV_T1, Thalassotalea ganghwensis,0,0
UV,T1,PS,PS_UV_T1, bacterium enrichment culture clone Anammox_9,0,0
UV,T1,PS,PS_UV_T1, alpha proteobacterium ARP-2-16,0,0
UV,T1,PS,PS_UV_T1, Tateyamaria omphalii,0,0
